"","...1","rank","name","Net Worth","AGE","country","Source","industry","soccer_team"
"675",674,665,"W. Herbert Hunt","$4.3 B",93,"United States","oil","Energy",NA
"676",675,665,"Jason Jiang","$4.3 B",49,"China","advertising","Media & Entertainment",NA
"677",676,665,"Rupert Johnson, Jr.","$4.3 B",81,"United States","money management","Finance & Investments",NA
"678",677,665,"Vikram Lal & family","$4.3 B",80,"India","motorcycles","Automotive",NA
"679",678,665,"Lam Wai-ying","$4.3 B",64,"Hong Kong","smartphone screens","Manufacturing",NA
"680",679,665,"Chris Larsen","$4.3 B",61,"United States","cryptocurrency","Finance & Investments",NA
"681",680,665,"Richard Schulze","$4.3 B",81,"United States","Best Buy","Fashion & Retail",NA
"682",681,665,"Paul Singer","$4.3 B",77,"United States","hedge funds","Finance & Investments",NA
"683",682,665,"Barry Sternlicht","$4.3 B",61,"United States","private equity","Finance & Investments",NA
"684",683,665,"Su Hua","$4.3 B",40,"China","video streaming","Media & Entertainment",NA
"685",684,665,"Mark Walter","$4.3 B",61,"United States","finance","Finance & Investments",NA
"686",685,665,"Ty Warner","$4.3 B",77,"United States","plush toys, real estate","Real Estate",NA
"687",686,687,"Rinat Akhmetov","$4.2 B",55,"Ukraine","steel, coal","Metals & Mining",NA
"688",687,687,"Martin & Olivier Bouygues","$4.2 B",64,"France","construction, media","Construction & Engineering",NA
"689",688,687,"Bernard Broermann","$4.2 B",78,"Germany","hospitals","Healthcare",NA
"690",689,687,"Mong-Koo Chung","$4.2 B",84,"South Korea","Hyundai","Automotive",NA
"691",690,687,"Daniel D'Aniello","$4.2 B",75,"United States","private equity","Finance & Investments",NA
"692",691,687,"Traudl Engelhorn & family","$4.2 B",95,"Germany","pharmaceuticals, medical equipment","Healthcare",NA
"693",692,687,"Piero Ferrari","$4.2 B",76,"Italy","automobiles","Automotive",NA
"694",693,687,"Carlo Fidani","$4.2 B",67,"Canada","real estate","Real Estate",NA
"695",694,687,"Yakir Gabay","$4.2 B",55,"Cyprus","real estate","Real Estate",NA
"696",695,687,"Jaime Gilinski Bacal","$4.2 B",64,"Colombia","banking","Finance & Investments",NA
"697",696,687,"Bertil Hult","$4.2 B",81,"Sweden","education","Service",NA
"698",697,687,"Martha Ingram & family","$4.2 B",86,"United States","book distribution, transportation","Media & Entertainment",NA
"699",698,687,"Lee Yin Yee","$4.2 B",70,"China","glass","Manufacturing",NA
"700",699,687,"Daniel Loeb","$4.2 B",60,"United States","hedge funds","Finance & Investments",NA
"701",700,687,"Janice McNair","$4.2 B",85,"United States","energy, sports","Sports",NA
"702",701,687,"Ajay Piramal","$4.2 B",66,"India","pharmaceuticals","Healthcare",NA
"703",702,687,"Lynsi Snyder","$4.2 B",39,"United States","In-N-Out Burger","Food & Beverage",NA
"704",703,687,"Peter Spuhler","$4.2 B",62,"Switzerland","train cars","Manufacturing",NA
"705",704,687,"Kerry Stokes","$4.2 B",81,"Australia","construction equipment, media","Diversified",NA
"706",705,687,"Jon Stryker","$4.2 B",63,"United States","medical equipment","Healthcare",NA
"707",706,687,"Vincent Viola","$4.2 B",66,"United States","electronic trading","Finance & Investments",NA
"708",707,687,"Romesh T. Wadhwani","$4.2 B",74,"United States","software","Technology",NA
"709",708,709,"Juan Domingo Beckmann Legorreta & family","$4.1 B",54,"Mexico","tequila","Food & Beverage",NA
"710",709,709,"Rafael Del Pino","$4.1 B",63,"Spain","construction","Construction & Engineering",NA
"711",710,709,"Sergey Dmitriev","$4.1 B",56,"Russia","computer software","Technology",NA
"712",711,709,"Senapathy Gopalakrishnan","$4.1 B",67,"India","software services","Technology",NA
"713",712,709,"James Irving","$4.1 B",94,"Canada","diversified","Diversified",NA
"714",713,709,"Lee Boo-jin","$4.1 B",51,"South Korea","Samsung","Service",NA
"715",714,709,"Samuel Tak Lee","$4.1 B",82,"Hong Kong","real estate","Real Estate",NA
"716",715,709,"Thai Lee","$4.1 B",63,"United States","IT provider","Technology",NA
"717",716,709,"Eric Lefkofsky","$4.1 B",52,"United States","Groupon, investments","Technology",NA
"718",717,709,"Weiguo Li","$4.1 B",57,"China","construction materials","Manufacturing",NA
"719",718,709,"Ermirio Pereira de Moraes & family","$4.1 B",89,"Brazil","diversified","Diversified",NA
"720",719,709,"Maria Helena Moraes Scripilliti & family","$4.1 B",91,"Brazil","diversified","Diversified",NA
"721",720,709,"Augusto & Giorgio Perfetti","$4.1 B",64,"Italy","candy","Food & Beverage",NA
"722",721,709,"Thomas Secunda","$4.1 B",67,"United States","Bloomberg LP","Media & Entertainment",NA
"723",722,709,"Shaul Shani","$4.1 B",67,"Israel","telecom","Telecom",NA
"724",723,709,"E. Joe Shoen","$4.1 B",72,"United States","U-Haul","Automotive",NA
"725",724,709,"Steven Udvar-Hazy","$4.1 B",76,"United States","aircraft leasing","Service",NA
"726",725,709,"Russ Weiner","$4.1 B",51,"United States","energy drinks","Food & Beverage",NA
"727",726,709,"Guanjiang Wu & family","$4.1 B",53,"China","pharmaceuticals","Healthcare",NA
"728",727,728,"Anil Agarwal & family","$4 B",68,"India","mining, metals","Metals & Mining",NA
"729",728,728,"Somphote Ahunai","$4 B",54,"Thailand","renewable energy","Energy",NA
"730",729,728,"Patrizio Bertelli","$4 B",76,"Italy","luxury goods","Fashion & Retail",NA
"731",730,728,"Rakesh Gangwal","$4 B",68,"United States","airline","Service",NA
"732",731,728,"Paul Gauselmann & family","$4 B",87,"Germany","gambling","Gambling & Casinos",NA
"733",732,728,"Hao Hong","$4 B",66,"United States","pharmaceuticals","Healthcare",NA
"734",733,728,"He Xiaopeng","$4 B",44,"China","electric vehicles","Automotive",NA
"735",734,728,"Michael Herz","$4 B",78,"Germany","coffee","Fashion & Retail",NA
"736",735,728,"Wolfgang Herz","$4 B",71,"Germany","coffee","Fashion & Retail",NA
"737",736,728,"Arthur Irving","$4 B",92,"Canada","oil","Energy",NA
"738",737,728,"Victor Jacobsson","$4 B",40,"Sweden","fintech","Finance & Investments",NA
"739",738,728,"Marc Ladreit de Lacharriere","$4 B",81,"France","finance","Finance & Investments",NA
"740",739,728,"Patrick Lee","$4 B",80,"Hong Kong","paper","Manufacturing",NA
"741",740,728,"Max Lytvyn","$4 B",42,"Canada","software","Technology",NA
"742",741,728,"Gilles Martin","$4 B",58,"France","laboratory services","Healthcare",NA
"743",742,728,"Ramzi Musallam","$4 B",53,"United States","private equity","Finance & Investments",NA
"744",743,728,"Georg Nemetschek & family","$4 B",88,"Germany","software","Technology",NA
"745",744,728,"Akio Nitori","$4 B",78,"Japan","home furnishings","Fashion & Retail",NA
"746",745,728,"Daniel Och","$4 B",61,"United States","hedge funds","Finance & Investments",NA
"747",746,728,"Pankaj Patel","$4 B",69,"India","pharmaceuticals","Healthcare",NA
"748",747,728,"John Paulson","$4 B",66,"United States","hedge funds","Finance & Investments",NA
"749",748,728,"Miuccia Prada","$4 B",72,"Italy","luxury goods","Fashion & Retail",NA
"750",749,728,"Jean (Gigi) Pritzker","$4 B",59,"United States","hotels, investments","Service",NA
"751",750,728,"Juan Roig","$4 B",72,"Spain","supermarkets","Fashion & Retail",NA
"752",751,728,"David Rubenstein","$4 B",72,"United States","private equity","Finance & Investments",NA
"753",752,728,"Howard Schultz","$4 B",68,"United States","Starbucks","Food & Beverage",NA
"754",753,728,"Alex Shevchenko","$4 B",42,"Canada","software","Technology",NA
"755",754,728,"Dan Snyder","$4 B",57,"United States","Washington Football Team","Sports",NA
"756",755,728,"Jerzy Starak","$4 B",74,"Poland","pharmaceuticals","Healthcare",NA
"757",756,728,"Udo & Harald Tschira","$4 B",64,"Germany","software","Technology",NA
"758",757,728,"Kelcy Warren","$4 B",66,"United States","pipelines","Energy",NA
"759",758,728,"Herbert Wertheim","$4 B",82,"United States","investments","Finance & Investments",NA
"760",759,728,"Cameron Winklevoss","$4 B",40,"United States","cryptocurrency","Finance & Investments",NA
"761",760,728,"Tyler Winklevoss","$4 B",40,"United States","cryptocurrency","Finance & Investments",NA
"762",761,728,"Denise York & family","$4 B",71,"United States","San Francisco 49ers","Sports",NA
"763",762,728,"Zhao Lixin","$4 B",56,"China","electronics","Technology",NA
"764",763,764,"Hubert Burda","$3.9 B",82,"Germany","publishing","Media & Entertainment",NA
"765",764,764,"Francesco Gaetano Caltagirone","$3.9 B",79,"Italy","cement, diversified","Construction & Engineering",NA
"766",765,764,"Marcos Galperin","$3.9 B",64,"Argentina","e-commerce","Technology",NA
"767",766,764,"Li Xiang","$3.9 B",40,"China","electric vehicles","Automotive",NA
"768",767,764,"Stephen Mandel, Jr.","$3.9 B",66,"United States","hedge funds","Finance & Investments",NA
"769",768,764,"Gabe Newell","$3.9 B",59,"United States","videogames","Gambling & Casinos",NA
"770",769,764,"Maja Oeri","$3.9 B",67,"Switzerland","pharmaceuticals","Healthcare",NA
"771",770,764,"Paolo & Gianfelice Mario Rocca","$3.9 B",64,"Italy","pipe manufacturing","Metals & Mining",NA
"772",771,764,"Neil Shen","$3.9 B",54,"China","venture capital","Finance & Investments",NA
"773",772,764,"Helmut Sohmen","$3.9 B",82,"Austria","shipping","Logistics",NA
"774",773,764,"Donald Sterling","$3.9 B",87,"United States","real estate","Real Estate",NA
"775",774,764,"Don Vultaggio & family","$3.9 B",70,"United States","beverages","Food & Beverage",NA
"776",775,764,"Yiling Wu","$3.9 B",72,"China","pharmaceuticals","Healthcare",NA
"777",776,764,"Gongshan Zhu","$3.9 B",64,"China","solar panel materials","Manufacturing",NA
"778",777,778,"Gayle Benson","$3.8 B",75,"United States","pro sports teams","Sports",NA
"779",778,778,"William Conway, Jr.","$3.8 B",72,"United States","private equity","Finance & Investments",NA
"780",779,778,"Gurbachan Singh Dhingra","$3.8 B",71,"India","paints","Manufacturing",NA
"781",780,778,"Kuldip Singh Dhingra","$3.8 B",74,"India","paints","Manufacturing",NA
"782",781,778,"Luca Garavoglia","$3.8 B",53,"Italy","spirits","Food & Beverage",NA
"783",782,778,"Vinod & Anil Rai Gupta","$3.8 B",64,"India","electrical equipment","Manufacturing",NA
"784",783,778,"Jimmy Haslam","$3.8 B",68,"United States","gas stations, retail","Fashion & Retail",NA
"785",784,778,"Susan Carol Holland","$3.8 B",65,"Italy","hearing aids","Manufacturing",NA
"786",785,778,"Timur Kulibaev","$3.8 B",55,"Kazakhstan","banking","Finance & Investments",NA
"787",786,778,"Dinara Kulibaeva","$3.8 B",54,"Kazakhstan","banking","Finance & Investments",NA
"788",787,778,"Michel Leclercq & family","$3.8 B",82,"France","sporting goods","Fashion & Retail",NA
"789",788,778,"Pablo Legorreta","$3.8 B",58,"United States","investments","Finance & Investments",NA
"790",789,778,"Margarita Louis-Dreyfus & family","$3.8 B",59,"Switzerland","commodities","Food & Beverage",NA
"791",790,778,"Michael Milken","$3.8 B",75,"United States","investments","Finance & Investments",NA
"792",791,778,"Denis O'Brien","$3.8 B",63,"Ireland","telecom","Telecom",NA
"793",792,778,"Katharina Otto-Bernstein","$3.8 B",58,"Germany","real estate","Real Estate",NA
"794",793,778,"James Packer","$3.8 B",54,"Australia","casinos","Gambling & Casinos",NA
"795",794,778,"Sergio Stevanato & family","$3.8 B",79,"Italy","medical packaging","Healthcare",NA
"796",795,778,"Leena Tewari","$3.8 B",64,"India","pharmaceuticals","Healthcare",NA
"797",796,778,"Yitzhak Tshuva","$3.8 B",73,"Israel","real estate","Real Estate",NA
"798",797,778,"Paul-Heinz Wesjohann & family","$3.8 B",78,"Germany","chicken processing","Food & Beverage",NA
"799",798,778,"Zeng Fangqin","$3.8 B",56,"China","smartphone components","Technology",NA
"800",799,778,"Zhou Bajin","$3.8 B",86,"China","auto parts","Manufacturing",NA
"801",800,801,"William Berkley","$3.7 B",75,"United States","insurance","Finance & Investments",NA
"802",801,801,"John Catsimatidis","$3.7 B",73,"United States","oil, real estate","Energy",NA
"803",802,801,"Che Jianxing","$3.7 B",55,"China","furniture retailing","Fashion & Retail",NA
"804",803,801,"Gustavo Denegri","$3.7 B",85,"Italy","biotech","Healthcare",NA
"805",804,801,"Charles Edelstenne","$3.7 B",84,"France","aviation","Manufacturing",NA
"806",805,801,"Reed Hastings","$3.7 B",61,"United States","Netflix","Media & Entertainment",NA
"807",806,801,"Amos Hostetter, Jr.","$3.7 B",85,"United States","cable television","Media & Entertainment",NA
"808",807,801,"Brad Jacobs","$3.7 B",65,"United States","logistics","Logistics",NA
"809",808,801,"Friedrich Knapp","$3.7 B",70,"Germany","fashion retail","Fashion & Retail",NA
"810",809,801,"William Lauder","$3.7 B",61,"United States","Estee Lauder","Fashion & Retail",NA
"811",810,801,"Richard LeFrak & family","$3.7 B",76,"United States","real estate","Real Estate",NA
"812",811,801,"Li Guoqiang","$3.7 B",58,"China","auto dealerships","Automotive",NA
"813",812,801,"Low Tuck Kwong","$3.7 B",73,"Indonesia","coal","Energy",NA
"814",813,801,"Akira Mori & family","$3.7 B",85,"Japan","real estate","Real Estate",NA
"815",814,801,"Anthony Pritzker","$3.7 B",61,"United States","hotels, investments","Service",NA
"816",815,801,"Ira Rennert","$3.7 B",87,"United States","investments","Finance & Investments",NA
"817",816,801,"Bernard Saul, II.","$3.7 B",89,"United States","banking, real estate","Finance & Investments",NA
"818",817,801,"Shi Yonghong & family","$3.7 B",53,"China","restaurants","Food & Beverage",NA
"819",818,801,"Song Chi-hyung","$3.7 B",43,"South Korea","cryptocurrency","Finance & Investments",NA
"820",819,801,"Steven Spielberg","$3.7 B",75,"United States","movies","Media & Entertainment",NA
"821",820,801,"Wong Luen Hei","$3.7 B",60,"China","building materials","Manufacturing",NA
"822",821,822,"Danielle Bellon & family","$3.6 B",82,"France","food services","Service",NA
"823",822,822,"Byju Raveendran and Divya Gokulnath","$3.6 B",40,"India","education technology","Technology",NA
"824",823,822,"Cho Tak Wong","$3.6 B",75,"Hong Kong","auto parts","Manufacturing",NA
"825",824,822,"Charles Cohen","$3.6 B",70,"United States","real estate","Real Estate",NA
"826",825,822,"Kenneth Dart","$3.6 B",66,"Belize","investments","Finance & Investments",NA
"827",826,822,"Martin Ebner","$3.6 B",76,"Switzerland","investments","Finance & Investments",NA
"828",827,822,"David Filo","$3.6 B",55,"United States","Yahoo","Technology",NA
"829",828,822,"Miguel Fluxa Rossello","$3.6 B",83,"Spain","hotels","Service",NA
"830",829,822,"John Henry","$3.6 B",72,"United States","sports","Sports",NA
"831",830,822,"Hu Kaijun","$3.6 B",60,"China","pharmaceuticals","Healthcare",NA
"832",831,822,"Peter Kellogg","$3.6 B",79,"United States","investments","Finance & Investments",NA
"833",832,822,"James Leprino","$3.6 B",84,"United States","cheese","Food & Beverage",NA
"834",833,822,"Iskander Makhmudov","$3.6 B",58,"Russia","mining, metals, machinery","Metals & Mining",NA
"835",834,822,"Daniel Mate","$3.6 B",58,"Spain","mining, commodities","Metals & Mining",NA
"836",835,822,"Aristotelis Mistakidis","$3.6 B",60,"Greece","mining, commodities","Metals & Mining",NA
"837",836,822,"Arturo Moreno","$3.6 B",75,"United States","billboards, Los Angeles Angels","Sports",NA
"838",837,822,"Nan Cunhui","$3.6 B",58,"China","power equipment","Manufacturing",NA
"839",838,822,"Julio Ponce Lerou","$3.6 B",76,"Chile","fertilizer","Metals & Mining",NA
"840",839,822,"J.B. Pritzker","$3.6 B",57,"United States","hotels, investments","Finance & Investments",NA
"841",840,822,"Chandru Raheja","$3.6 B",81,"India","real estate","Real Estate",NA
"842",841,822,"Rodger Riney & family","$3.6 B",76,"United States","discount brokerage","Finance & Investments",NA
"843",842,822,"Shi Yuzhu","$3.6 B",59,"China","online games, investments","Diversified",NA
"844",843,822,"Zuowen Song","$3.6 B",75,"China","aluminum, diversified","Diversified",NA
"845",844,822,"Jerry Speyer","$3.6 B",81,"United States","real estate","Real Estate",NA
"846",845,822,"Julia Thiele-Schuerhoff","$3.6 B",50,"Germany","brakes, investments","Manufacturing",NA
"847",846,822,"Tung Chee Chen","$3.6 B",79,"Hong Kong","shipping","Logistics",NA
"848",847,822,"Roger Wang","$3.6 B",73,"United States","retail","Fashion & Retail",NA
"849",848,822,"Wu Shaoxun","$3.6 B",66,"China","wine","Food & Beverage",NA
"850",849,822,"Wenzhong Zhang","$3.6 B",60,"China","supermarkets","Fashion & Retail",NA
"851",850,851,"Chen Kaixuan","$3.5 B",63,"China","household chemicals","Manufacturing",NA
"852",851,851,"Beatriz Davila de Santo Domingo","$3.5 B",83,"Colombia","beer","Food & Beverage",NA
"853",852,851,"Antonio Del Valle Ruiz & family","$3.5 B",83,"Mexico","chemicals","Manufacturing",NA
"854",853,851,"Carl Douglas","$3.5 B",60,"Sweden","investments","Diversified",NA
"855",854,851,"Eric Douglas","$3.5 B",53,"Sweden","investments","Diversified",NA
"856",855,851,"Jiangtao Du & family","$3.5 B",52,"China","chemicals","Manufacturing",NA
"857",856,851,"Juan Carlos Escotet","$3.5 B",62,"Venezuela","banking","Finance & Investments",NA
"858",857,851,"Fiona Geminder","$3.5 B",57,"Australia","manufacturing","Manufacturing",NA
"859",858,851,"Yuhua Gu & family","$3.5 B",72,"China","furniture","Manufacturing",NA
"860",859,851,"James Irsay","$3.5 B",62,"United States","Indianapolis Colts","Sports",NA
"861",860,851,"Kuok Khoon Hong","$3.5 B",72,"Singapore","palm oil","Manufacturing",NA
"862",861,851,"Aerin Lauder","$3.5 B",51,"United States","cosmetics","Fashion & Retail",NA
"863",862,851,"Lee Seo-hyun","$3.5 B",48,"South Korea","Samsung","Diversified",NA
"864",863,851,"Li Yongxin & family","$3.5 B",46,"China","education","Service",NA
"865",864,851,"Jeffrey Lurie","$3.5 B",70,"United States","Philadelphia Eagles","Sports",NA
"866",865,851,"Mary Alice Dorrance Malone","$3.5 B",72,"United States","Campbell Soup","Food & Beverage",NA
"867",866,851,"Ronald McAulay","$3.5 B",86,"Hong Kong","energy","Energy",NA
"868",867,851,"Apoorva Mehta","$3.5 B",35,"Canada","grocery delivery service","Technology",NA
"869",868,851,"Arnon Milchan","$3.5 B",77,"Israel","movie making","Media & Entertainment",NA
"870",869,851,"Masahiro Noda","$3.5 B",83,"Japan","software","Technology",NA
"871",870,851,"Maren Otto","$3.5 B",64,"Germany","retail, real estate","Diversified",NA
"872",871,851,"Renzo Rosso & family","$3.5 B",66,"Italy","fashion","Fashion & Retail",NA
"873",872,851,"Lynn Schusterman","$3.5 B",83,"United States","oil & gas, investments","Energy",NA
"874",873,851,"Gil Shwed","$3.5 B",53,"Israel","software","Technology",NA
"875",874,851,"Thomas Siebel","$3.5 B",69,"United States","business software","Technology",NA
"876",875,851,"Herb Simon","$3.5 B",87,"United States","real estate","Real Estate",NA
"877",876,851,"Friede Springer","$3.5 B",79,"Germany","publishing","Media & Entertainment",NA
"878",877,851,"Wang Zhenhua","$3.5 B",60,"China","real estate","Real Estate",NA
"879",878,851,"Hans Peter Wild","$3.5 B",80,"Switzerland","flavorings","Food & Beverage",NA
"880",879,851,"William Wrigley, Jr.","$3.5 B",58,"United States","chewing gum","Food & Beverage",NA
"881",880,851,"Xia Zuoquan","$3.5 B",60,"China","automobiles, batteries","Automotive",NA
"882",881,851,"Xue Hua","$3.5 B",52,"China","agribusiness","Manufacturing",NA
"883",882,883,"Mohed Altrad","$3.4 B",74,"France","scaffolding, cement mixers","Construction & Engineering",NA
"884",883,883,"Sid Bass","$3.4 B",79,"United States","oil, investments","Energy",NA
"885",884,883,"Nick Caporella","$3.4 B",86,"United States","beverages","Food & Beverage",NA
"886",885,883,"Cheng Yixiao","$3.4 B",38,"China","video streaming app","Media & Entertainment",NA
"887",886,883,"Wesley Edens","$3.4 B",60,"United States","investments","Finance & Investments",NA
"888",887,883,"Behdad Eghbali","$3.4 B",45,"United States","private equity","Finance & Investments",NA
"889",888,883,"Archie Aldis Emmerson & family","$3.4 B",92,"United States","timberland, lumber mills","Manufacturing",NA
"890",889,883,"Jose E. Feliciano","$3.4 B",48,"United States","private equity","Finance & Investments",NA
"891",890,883,"Fu Liquan & family","$3.4 B",54,"China","surveillance equipment","Technology",NA
"892",891,883,"David Gottesman","$3.4 B",95,"United States","investments","Finance & Investments",NA
"893",892,883,"Laurence Graff & family","$3.4 B",83,"United Kingdom","diamond jewelry","Fashion & Retail",NA
"894",893,883,"Jeff T. Green","$3.4 B",45,"United States","digital advertising","Media & Entertainment",NA
"895",894,883,"Jim Kavanaugh","$3.4 B",59,"United States","IT provider","Technology",NA
"896",895,883,"Steven Klinsky","$3.4 B",65,"United States","investments","Finance & Investments",NA
"897",896,883,"John Middleton","$3.4 B",67,"United States","tobacco","Food & Beverage",NA
"898",897,883,"Jerry Ng","$3.4 B",56,"Indonesia","banking","Finance & Investments",NA
"899",898,883,"Tengyun Nie & family","$3.4 B",46,"China","logistics","Service",NA
"900",899,883,"Nandan Nilekani","$3.4 B",66,"India","software services","Technology",NA
"901",900,883,"Bob Parsons","$3.4 B",71,"United States","web hosting","Technology",NA
"902",901,883,"Prasert Prasarttong-Osoth","$3.4 B",89,"Thailand","hospitals","Healthcare",NA
"903",902,883,"Qiu Guanghe & family","$3.4 B",70,"China","fashion retail","Fashion & Retail",NA
"904",903,883,"Richard Sands","$3.4 B",71,"United States","liquor","Food & Beverage",NA
"905",904,883,"Robert Sands","$3.4 B",63,"United States","liquor","Food & Beverage",NA
"906",905,883,"T. Denny Sanford","$3.4 B",86,"United States","banking, credit cards","Finance & Investments",NA
"907",906,883,"Naguib Sawiris","$3.4 B",67,"Egypt","telecom","Telecom",NA
"908",907,883,"Pavel Tykac","$3.4 B",57,"Czechia","coal mines","Metals & Mining",NA
"909",908,883,"Todd Wanek","$3.4 B",58,"United States","furniture","Manufacturing",NA
"910",909,883,"Meg Whitman","$3.4 B",65,"United States","eBay","Technology",NA
"911",910,883,"Michael Xie","$3.4 B",53,"United States","cybersecurity","Technology",NA
"912",911,883,"Chenghai Ye & family","$3.4 B",78,"Hong Kong","pharmaceuticals","Healthcare",NA
"913",912,913,"An Kang","$3.3 B",73,"China","pharmaceuticals","Healthcare",NA
"914",913,913,"John Arnold","$3.3 B",48,"United States","hedge funds","Finance & Investments",NA
"915",914,913,"Arun Bharat Ram","$3.3 B",81,"India","chemicals","Manufacturing",NA
"916",915,913,"Tomasz Biernacki","$3.3 B",49,"Poland","supermarkets","Fashion & Retail",NA
"917",916,913,"Travis Boersma","$3.3 B",51,"United States","coffee","Food & Beverage",NA
"918",917,913,"Chan Tan Ching-fen","$3.3 B",64,"Hong Kong","real estate","Real Estate",NA
"919",918,913,"Dongsheng Chen","$3.3 B",64,"China","insurance","Finance & Investments",NA
"920",919,913,"Jean Coutu & family","$3.3 B",94,"Canada","drugstores","Fashion & Retail",NA
"921",920,913,"Ralph Dommermuth","$3.3 B",58,"Germany","internet service provider","Technology",NA
"922",921,913,"Walter Faria","$3.3 B",67,"Brazil","beer","Food & Beverage",NA
"923",922,913,"Bob Gaglardi","$3.3 B",81,"Canada","hotels","Real Estate",NA
"924",923,913,"John Gandel","$3.3 B",87,"Australia","shopping malls","Real Estate",NA
"925",924,913,"Xuande Hua & family","$3.3 B",78,"China","pharmaceuticals","Healthcare",NA
"926",925,913,"Micky Jagtiani","$3.3 B",70,"India","retail","Fashion & Retail",NA
"927",926,913,"H. Fisk Johnson","$3.3 B",63,"United States","cleaning products","Manufacturing",NA
"928",927,913,"S. Curtis Johnson","$3.3 B",66,"United States","cleaning products","Manufacturing",NA
"929",928,913,"Helen Johnson-Leipold","$3.3 B",65,"United States","cleaning products","Manufacturing",NA
"930",929,913,"Miguel Krigsner","$3.3 B",72,"Brazil","cosmetics","Fashion & Retail",NA
"931",930,913,"Li Jianquan & family","$3.3 B",65,"Hong Kong","consumer products","Healthcare",NA
"932",931,913,"Lin Ming-hsiung","$3.3 B",72,"Taiwan","supermarkets","Fashion & Retail",NA
"933",932,913,"Winifred J. Marquart","$3.3 B",62,"United States","cleaning products","Manufacturing",NA
"934",933,913,"Kiran Mazumdar-Shaw","$3.3 B",69,"India","biopharmaceuticals","Healthcare",NA
"935",934,913,"Patrice Motsepe","$3.3 B",60,"South Africa","mining","Metals & Mining",NA
"936",935,913,"Alfred Oetker","$3.3 B",55,"Germany","consumer goods","Fashion & Retail",NA
"937",936,913,"Carl Ferdinand Oetker","$3.3 B",49,"Germany","consumer goods","Fashion & Retail",NA
"938",937,913,"Julia Oetker","$3.3 B",43,"Germany","consumer goods","Fashion & Retail",NA
"939",938,913,"Or Wai Sheun","$3.3 B",70,"Hong Kong","real estate","Real Estate",NA
"940",939,913,"Jay Paul","$3.3 B",74,"United States","real estate","Real Estate",NA
"941",940,913,"Horst Paulmann & family","$3.3 B",87,"Chile","retail","Fashion & Retail",NA
"942",941,913,"Theodore Rachmat","$3.3 B",78,"Indonesia","diversified","Diversified",NA
"943",942,913,"John Sall","$3.3 B",74,"United States","software","Technology",NA
"944",943,913,"Stefan von Holtzbrinck","$3.3 B",58,"Germany","publishing","Media & Entertainment",NA
"945",944,913,"Nusli Wadia","$3.3 B",78,"India","consumer goods","Food & Beverage",NA
"946",945,913,"Steve Wynn","$3.3 B",80,"United States","casinos, hotels","Gambling & Casinos",NA
"947",946,913,"Yang Weidong & family","$3.3 B",53,"China","chemicals","Manufacturing",NA
"948",947,913,"Barry Zekelman","$3.3 B",55,"Canada","steel","Manufacturing",NA
"949",948,913,"Zhang Shilong & family","$3.3 B",56,"China","semiconductor","Technology",NA
"950",949,913,"Zhong Ruonong & family","$3.3 B",59,"China","electronics","Manufacturing",NA
"951",950,951,"Cameron Adams","$3.2 B",42,"Australia","software","Technology",NA
"952",951,951,"Dongchen Cai","$3.2 B",69,"China","pharmaceuticals","Healthcare",NA
"953",952,951,"Vanich Chaiyawan","$3.2 B",90,"Thailand","insurance, beverages","Finance & Investments",NA
"954",953,951,"Andrew & Peggy Cherng","$3.2 B",64,"United States","restaurants","Food & Beverage",NA
"955",954,951,"James Clark","$3.2 B",78,"United States","Netscape, investments","Technology",NA
"956",955,951,"Jack Cowin","$3.2 B",79,"Australia","fast food","Food & Beverage",NA
"957",956,951,"Giuseppe Crippa & family","$3.2 B",86,"Italy","microchip testing","Manufacturing",NA
"958",957,951,"Sergei Galitsky","$3.2 B",54,"Russia","retail","Fashion & Retail",NA
"959",958,951,"Ernest Garcia, III","$3.2 B",39,"United States","used cars","Automotive",NA
"960",959,951,"Peter Gilgan","$3.2 B",71,"Canada","homebuilding","Construction & Engineering",NA
"961",960,951,"Joseph Grendys","$3.2 B",60,"United States","poultry processing","Food & Beverage",NA
"962",961,951,"Thomas Hagen","$3.2 B",86,"United States","insurance","Finance & Investments",NA
"963",962,951,"Robert Hale, Jr.","$3.2 B",55,"United States","telecom","Telecom",NA
"964",963,951,"Michael Hintze","$3.2 B",68,"Australia","investment","Finance & Investments",NA
"965",964,951,"Pansy Ho","$3.2 B",59,"Hong Kong","casinos","Gambling & Casinos",NA
"966",965,951,"Alan Howard","$3.2 B",58,"United Kingdom","hedge funds","Finance & Investments",NA
"967",966,951,"Kei Hoi Pang","$3.2 B",56,"China","real estate","Real Estate",NA
"968",967,951,"Rudy Ma","$3.2 B",81,"Taiwan","finance","Finance & Investments",NA
"969",968,951,"Najib Mikati","$3.2 B",66,"Lebanon","telecom","Telecom",NA
"970",969,951,"Taha Mikati","$3.2 B",77,"Lebanon","telecom","Telecom",NA
"971",970,951,"Gail Miller","$3.2 B",78,"United States","car dealerships","Automotive",NA
"972",971,951,"Vikas Oberoi","$3.2 B",51,"India","real estate","Real Estate",NA
"973",972,951,"H. Ross Perot, Jr.","$3.2 B",63,"United States","real estate","Real Estate",NA
"974",973,951,"Candido Pinheiro Koren de Lima","$3.2 B",75,"Brazil","hospitals, health insurance","Healthcare",NA
"975",974,951,"Matthew Prince","$3.2 B",47,"United States","cybersecurity","Technology",NA
